id,milestone,wave,status,execution_mode,package,path,title,type,owner,executor,estimate,depends_on,labels,prototype_basis,summary,acceptance
M0-01,M0 Foundation,foundation,done,bootstrap,repo-root,/,Initialize polyglot monorepo tooling (pnpm + uv + just + pre-commit),chore,DevEx,Engineering,M,,"infra,monorepo,devex","Canonical monorepo root, toolchain entrypoints, lockfiles, and just bootstrap/test/lint scaffolding now exist at the repo root.","Completed: the canonical monorepo root, workspace layout, and bootstrap/lint/test entrypoints are in place.","Root contains apps/, services/, packages/, integrations/, examples/, tests/; `just bootstrap`, `just test`, `just lint` succeed on a clean machine."
M0-02,M0 Foundation,foundation,done,absorb,repo-root,/.github / docs/,"Set repository governance: CODEOWNERS, labels, milestones, issue templates, PR template",chore,Tech Lead,Tech Lead+Engineering,S,M0-01,"governance,github,docs","Labels, milestones, issue-seeding automation, CODEOWNERS, issue templates, PR template, and GitHub governance docs now exist in the canonical root.","Completed: repository governance assets now exist on top of the existing label, milestone, and issue-seeding automation.",GitHub templates exist; CODEOWNERS routes contracts to policy owner and proof backend to Isabelle owner; backlog labels/milestones documented.
M0-03,M0 Foundation,foundation,done,normalize,packages/contracts,packages/contracts,Import canonical JSON Schemas and freeze schema version policy,feat,Contracts,Tech Lead+Architecture,S,M0-01,"contracts,schema,policy",Prototype schema copies already exist under `formal-claim-pipeline/formal_claim_pipeline/schemas/`.,"Completed: canonical schemas now live only in `packages/contracts/`, the donor copies are gone, and the package README fixes versioning, migration, and deprecation policy.",Schemas live only in packages/contracts; README defines semver policy; duplicate copies are removed from service packages.
M0-04,M0 Foundation,foundation,done,implement,packages/contracts-py + contracts-ts,"packages/contracts-py, packages/contracts-ts",Generate Python and TypeScript bindings from canonical schemas,feat,Contracts,Engineering,M,M0-03,"contracts,codegen,python,typescript",,"Completed: generated Python and TypeScript bindings now build from the canonical schemas, and donor models consume the canonical generated layer instead of a hand-written mirror.",`packages/contracts-py` and `packages/contracts-ts` build successfully; generated types round-trip valid fixtures; no hand-written duplicate model layer remains.
M0-05,M0 Foundation,foundation,done,implement,tests/schema + examples,"tests/schema, examples/",Add golden fixtures and schema conformance tests,test,QA,Engineering,S,M0-04,"tests,schema,fixtures",,"Completed: theorem-audit golden fixtures, invalid fixtures, and legacy migration samples now live under the canonical root and are enforced by schema conformance checks.",Schema tests pass in CI; fixtures include at least one valid and one invalid file per schema; failing fixture diffs are readable.
M1-01,M1 Migration,migration,done,extract,services/engine,services/engine,Extract `formal_claim_pipeline` into `services/engine` package skeleton,refactor,Backend,Engineering,M,M0-04,"migration,engine,python",The donor `formal_claim_pipeline` package already exists under `formal-claim-pipeline/formal_claim_pipeline/`.,Completed: `formal_claim_engine` now owns the extracted pipeline package, the legacy `formal_claim_pipeline` package is a compatibility front door, and root checks compile/import/build both surfaces.,Engine package imports without referencing legacy top-level package names; old package either becomes thin compatibility shim or is removed.
M1-02,M1 Migration,migration,done,extract,services/isabelle-runner,services/isabelle-runner,Extract `isabelle_wrapper.py` into deterministic Isabelle runner service,refactor,Proof,Engineering,M,M1-01,"migration,isabelle,backend",The heuristic donor wrapper already exists at `formal-claim-pipeline/formal_claim_pipeline/isabelle_wrapper.py`.,Completed: canonical `services/isabelle-runner` now owns the runner config, models, CLI, and write/build helpers, while engine consumes it only through the typed compatibility shim.,"Runner has its own package, CLI entrypoint, config, and JSON response models; engine depends on it via typed interface only."
M1-03,M1 Migration,migration,done,absorb,services/mcp-server,services/mcp-server,Replace standalone `claim_tracer_mcp` internals with thin MCP facade over canonical engine,refactor,Platform,Engineering,M,M1-01 M0-04,"migration,mcp,claim-tracer",The donor MCP surface already exists under `claim-tracer-dist/claim_tracer_mcp/`.,Completed: `services/mcp-server` now provides the canonical thin MCP facade, and donor `claim_tracer_mcp` modules forward into engine-owned claim tracing adapters instead of carrying their own store/model logic.,MCP tools no longer import legacy `claim_tracer_mcp.models` or `store`; all tool I/O uses canonical contracts or explicit adapter DTOs.
M1-04,M1 Migration,migration,done,replace,services/engine + tests/integration,"services/engine, tests/integration",Add migration adapters for legacy file-backed artifacts into canonical store,feat,Backend,Engineering,S,M1-01 M0-05,"migration,artifacts,storage",,Completed: engine now exposes legacy artifact import helpers and CLI support, and integration smoke covers importing both donor store-layout JSON and donor example JSON into the canonical store.,A CLI or script imports legacy claim graphs and profiles into the new store; import report lists upgraded IDs and validation results.
M2-01,M2 Core Domain,core-runner-base,done,implement,packages/graph-model,packages/graph-model,"Implement canonical graph query library for claims, relations, and assurance links",feat,Backend,Engineering,M,M0-04,"graph,domain,library",,Completed: `packages/graph-model` now provides typed claim and assurance graph traversal, slicing, closure, hotspot, impact, projection, and diff queries over canonical contract models.,Library exposes forward/backward slice, dependency closure, leaf/root queries, and diffable projections with unit tests.
M2-02,M2 Core Domain,core-runner-advanced,done,implement,packages/graph-model,packages/graph-model,Implement theorem-local trust frontier and hotspot extraction,feat,Proof,Engineering,M,M2-01 M3-04,"graph,audit,trust-frontier",,Compute per-target frontier views rather than file-global risk summaries.,"Given runner outputs, library returns theorem-local counts for axioms, locales, premises, oracles, reviewed exceptions, and hotspot artifacts."
M2-03,M2 Core Domain,core-runner-base,done,implement,packages/audit-rules,packages/audit-rules,Implement deterministic assurance-profile computation rules,feat,Policy,Tech Lead+Engineering,M,M0-04 M2-01,"audit,policy,deterministic",,Completed: `packages/audit-rules` now computes assurance profiles, vector scores, coverage, support status, and gate decisions from typed verifier/audit/evidence input, and engine orchestration consumes it directly.,Rule engine computes vector fields and gate decisions from typed inputs; LLM is optional for rationale text only.
M2-04,M2 Core Domain,core-runner-advanced,done,implement,packages/audit-rules,packages/audit-rules,"Add vacuity, countermodel, and intent-alignment status combinators",feat,Policy,Engineering,S,M2-03,"audit,vacuity,intent",,"Encode the exact promotion blockers for countermodels, vacuity failures, unresolved obligations, and failed backtranslation checks.",Combinators map raw runner/adversary outputs into profile-ready statuses; tests cover all gate transitions.
M2-05,M2 Core Domain,core-runner-advanced,done,implement,packages/audit-rules + services/engine,"packages/audit-rules, services/engine",Implement Contract Pack emitter and downstream policy projection,feat,Policy,Engineering,S,M2-03,"contracts,downstream,policy",,Emit constrained Contract Packs for research/dev consumers from the approved assurance state.,"Emitter produces deterministic JSON bundle with allowed assumptions, blocked actions, and referenced artifact IDs."
M2-06,M2 Core Domain,core-runner-advanced,done,implement,services/engine,services/engine,"Add artifact versioning, migrations, and review-event journal",feat,Backend,Engineering,M,M1-04,"storage,events,versioning",,"Completed: the canonical artifact store now records revision envelopes for each save, writes migration batch reports, and exposes queryable review and migration journals.",Each graph/profile save creates revision metadata; migrations are replayable from stored reports; review events are queryable by target claim.
M3-01,M3 Isabelle Runner,core-runner-base,done,implement,services/isabelle-runner,services/isabelle-runner,Implement workspace/session scaffolder for temporary Isabelle runs,feat,Proof,Engineering,S,M1-02,"isabelle,runner,workspace",,Completed: runner now materializes typed session workspaces with generated theories and ROOT files, returns stable workspace metadata, and can clean them up deterministically.,Runner can materialize a session workspace from a typed request and clean it up deterministically.
M3-02,M3 Isabelle Runner,core-runner-base,done,implement,services/isabelle-runner,services/isabelle-runner,Implement build runner with structured log capture and session fingerprinting,feat,Proof,Engineering,M,M3-01,"isabelle,build,logs",,Completed: build execution now returns structured JSON with timeout classification, command, stdout/stderr log paths, artifact paths, and reproducible session fingerprints.,"Runner returns typed build JSON with timeout classification, session fingerprint, artifact paths, and captured diagnostics."
M3-03,M3 Isabelle Runner,core-runner-base,done,implement,services/isabelle-runner,services/isabelle-runner,Parse `isabelle export` and `isabelle dump` into typed audit payloads,feat,Proof,Engineering,L,M3-02,"isabelle,export,dump",,Completed: runner now parses export and dump directories into typed entries, artifacts, and dependency surfaces, and golden integration tests cover both parsers.,Export/dump parsers produce typed data structures for theories, sessions, entities, and dependency surfaces; golden tests included.
M3-04,M3 Isabelle Runner,core-runner-advanced,done,implement,services/isabelle-runner,services/isabelle-runner,"Implement theorem-local dependency, oracle, and reviewed-exception extraction",feat,Proof,Tech Lead+Engineering,L,M3-03,"isabelle,dependencies,oracles",,Use official export/dependency surfaces to compute target-local trust data instead of file-level heuristics.,"Runner returns theorem-level dependency closure including theorem deps, oracles, reviewed global axioms, and imported theory hotspots."
M3-05,M3 Isabelle Runner,core-runner-advanced,done,implement,services/isabelle-runner,services/isabelle-runner,Integrate Nitpick and optional Sledgehammer probes,feat,Proof,Engineering,M,M3-02,"isabelle,nitpick,sledgehammer",,"Add probe tasks for satisfiability, countermodels, and proof-replay hints as structured subcommands.",Runner can execute Nitpick probe on generated target and report pass/fail/inconclusive; optional Sledgehammer output is captured separately.
M3-06,M3 Isabelle Runner,core-runner-advanced,done,implement,services/isabelle-runner,services/isabelle-runner,Implement premise-deletion and conclusion-perturbation harness,feat,Proof,Engineering,M,M3-05,"isabelle,adversarial,robustness",,Support adversarial checks that remove premises or perturb conclusions to expose vacuity and over-strong statements.,Harness can generate variant jobs and summarize stable/fragile results per target theorem.
M3-07,M3 Isabelle Runner,core-runner-advanced,done,implement,apps/cli + services/isabelle-runner,"apps/cli, services/isabelle-runner","Expose runner subcommands: build, export, dump, audit, profile",feat,DevEx,Engineering,S,M3-03 M2-03,"cli,isabelle,ops",,"Completed: the canonical runner now exposes machine-usable `materialize`, `build`, `export`, `dump`, `audit`, and `profile` commands with JSON stdout, compatibility aliases, and documented request-file flows.",CLI commands emit JSON to stdout and non-zero exit codes on failures; help text documents request/response files.
M3-08,M3 Isabelle Runner,core-runner-advanced,done,implement,tests/integration + examples/theorem-audit,"tests/integration, examples/theorem-audit",Create Isabelle integration fixtures and reproducible runner tests,test,QA,Engineering,M,M3-07,"tests,isabelle,integration",,"Completed: theorem-audit runner fixtures now cover definitional, locale-based, sorry-containing, and suspicious sessions, and reproducible CLI integration tests preserve normalized golden outputs for audit and profile runs.",CI or gated local profile runs full runner tests against fixtures; failures preserve readable normalized diff artifacts.
M4-01,M4 Engine Workflows,workflow-mcp-cli,done,implement,services/engine,services/engine,Implement canonical repository layer over SQLite with file export mirrors,feat,Backend,Engineering,M,M0-05 M2-06,"engine,storage,sqlite",,"Completed: engine project metadata and canonical artifacts now persist in SQLite-authoritative stores, while load/save paths regenerate JSON mirrors for artifacts, revisions, journals, and project records.",Engine can create/load/update projects, claims, assurance artifacts, and revisions; missing mirror files are recreated from SQLite-backed records.
M4-02,M4 Engine Workflows,workflow-mcp-cli,done,implement,services/engine,services/engine,Implement claim-structuring workflow and planner admission pipeline,feat,Backend,Engineering,M,M1-01 M4-01,"engine,planner,workflow",,"Completed: phase1 claim structuring now runs through explicit planner admission, structuring, validation, admitted/failed states, with retry history and checkpoint errors captured in workflow DTOs before any ClaimGraph save.",Workflow produces canonical ClaimGraph revision or structured failure; retries are logged; no unchecked JSON from agents enters storage.
M4-03,M4 Engine Workflows,workflow-mcp-cli,done,implement,services/engine,services/engine,Implement dual-formalization workflow with divergence capture,feat,Backend,Engineering,M,M4-02 M3-02,"engine,formalization,workflow",,"Completed: phase2 now runs explicit dual-formalization workflow DTOs, persists claim-linked attempt lineage into the review journal, and preserves divergence metadata for aligned, divergent, and single-success outcomes before verification/audit.","Workflow stores both formalizer attempts, links them to the target claim, and computes divergence metadata even when one attempt fails."
M4-04,M4 Engine Workflows,workflow-mcp-cli,done,implement,services/engine,services/engine,Implement audit workflow that composes runner outputs and deterministic rules,feat,Backend,Engineering,M,M4-03 M2-03 M3-06,"engine,audit,workflow",,"Completed: phase2 now selects a canonical formal artifact, invokes the runner CLI audit surface, derives deterministic audit findings from trust/probe/robustness outputs, and emits AssuranceProfile without any LLM gate dependency.",Workflow emits AssuranceProfile without requiring an LLM for gating; optional narrative rationale can be added afterward.
M4-05,M4 Engine Workflows,workflow-mcp-cli,done,implement,services/engine,services/engine,Implement promotion state machine and review checkpoints,feat,Policy,Tech Lead+Engineering,S,M4-04,"engine,state-machine,promotion",,"Completed: explicit promotion checkpoints now bind to the latest assurance-profile revision, reject skipped gate transitions, require override rationale above the recommended gate, and prevent the same actor from both authoring and certifying a claim.",State machine rejects invalid transitions; review checkpoints and override rationales are recorded in the event journal.
M4-06,M4 Engine Workflows,workflow-mcp-cli,done,implement,services/engine + packages/evidence-connectors,"services/engine, packages/evidence-connectors",Implement document-ingest adapter from claim-tracer concepts into canonical Claim Graph,feat,Research,Engineering,M,M2-01 M1-03,"ingestion,claim-tracer,documents",,"Completed: packages/evidence-connectors now emit source-mapping bundles with raw units, evidence items, claim candidates, relation candidates, unresolved references, provenance, and uncertainty, while services/engine alone converts those bundles into provisional ClaimGraph revisions and keeps the mapping report.","Academic/legal/general document ingest produces a source-mapping bundle plus an engine-owned provisional ClaimGraph revision; mapping report, unresolved references, evidence items, and provenance remain available for admission review."
M4-07,M4 Engine Workflows,workflow-mcp-cli,done,implement,services/engine,services/engine,"Add engine API for project, artifact, audit, and promotion operations",feat,Platform,Engineering,S,M4-04 M4-05,"engine,api,service",,"Completed: FormalClaimEngineAPI now binds project CRUD, claim-structuring, runner-backed audit, profile recomputation, promotion approval, and export-bundle assembly behind one typed engine boundary that reuses the canonical repository and artifact store.","Typed service layer exposes create/open project, run claim structuring, run audit, recompute profile, approve promotion, and export bundle."
M4-08,M4 Engine Workflows,workflow-mcp-cli,done,implement,services/engine,services/engine,Refactor prompts and agent adapters into pluggable provider modules,refactor,AI Runtime,Architecture+Engineering,M,M4-02,"agents,prompts,providers",,"Completed: agent system prompts now live in a file-backed registry, response schemas are versioned separately from prompt templates, provider-specific JSON/request shaping is isolated in adapter modules, and structuring/formalization workflow journals persist prompt hash, schema hash, and adapter version lineage for reproducibility.","Agent code carries no system-prompt literals; provider transport does not leak into agent logic; prompt/schema/adapter lineage is reproducible from workflow journal metadata."
M5-01,M5 MCP,workflow-mcp-cli,done,implement,services/mcp-server,services/mcp-server,Define narrow typed MCP tool/resource facade over FormalClaimEngineAPI,feat,Platform,Engineering,M,M4-07 M3-07,"mcp,api,platform","`services/mcp-server` already existed from the donor MCP surface, but it had to be re-scoped into an engine-owned thin facade rather than a second workflow owner.","Completed: the canonical MCP server now exposes only workflow-boundary tools plus read-only resources over `FormalClaimEngineAPI`, uses job handles for long-running mutations, and keeps canonical artifact ownership inside engine.","MCP server provides typed workflow tools for project CRUD, document ingest, claim structuring, dual formalization, audit, profile recomputation, promotion, and bundle export; resources are read-only and long-running operations return `job_id` handles."
M5-02,M5 MCP,workflow-mcp-cli,done,implement,services/mcp-server,services/mcp-server,Port selected `claim_tracer_mcp` ingest and query flows into canonical MCP endpoints,feat,Research,Engineering,M,M5-01 M4-06,"mcp,claim-tracer,ingestion","Useful donor behaviors already existed in `claim_tracer_mcp`, but they needed to be absorbed into canonical dotted MCP endpoints without reviving legacy store/model ownership.","Completed: canonical MCP endpoints now cover ingest, trace-forward, trace-backward, gap detection, assessment, graph export, and project/graph reads, while donor compatibility helpers remain outside the canonical tool registry.","Tool names and JSON responses are documented; canonical MCP exposes `document.ingest`, `claim.trace_forward`, `claim.trace_backward`, `graph.detect_gaps`, `claim.assess`, and `graph.export`, and legacy user stories map onto the new server without reintroducing legacy models."
M5-03,M5 MCP,workflow-mcp-cli,done,implement,services/mcp-server,services/mcp-server,Expose proof/audit MCP workflow tools for engine-backed audit and profile recomputation,feat,Proof,Engineering,S,M5-01 M4-04,"mcp,isabelle,audit","Runner-backed audit and profile recomputation already existed behind engine workflows; MCP only needed to expose them as thin agent-facing control-plane calls.","Completed: MCP now exposes the proof workflow agents actually need through `formalize.dual`, `audit.run`, `profile.recompute`, `promotion.transition`, and `bundle.export`, with job results and artifact refs matching the engine API boundary.","Canonical MCP covers formalization, runner-backed audit, assurance-profile recomputation, promotion transitions, and bundle export through the engine API; parity smoke confirms MCP results match direct engine calls for the end-to-end workflow."
M5-04,M5 MCP,workflow-mcp-cli,done,implement,services/mcp-server,services/mcp-server,"Implement structured errors, request logging, queue limits, and MCP parity smokes",feat,Platform,Engineering,S,M5-01,"mcp,ops,reliability","Expected operational controls were missing from the donor MCP server and had to be added around the new canonical facade.","Completed: every canonical MCP tool now returns structured error envelopes, logs request IDs, enforces configurable queue/concurrency limits, and is covered by surface/parity smokes that exercise the full ingest-to-promotion path.","Every tool returns machine-readable error codes; server logs request IDs; configurable queue/concurrency guard exists; MCP surface and parity smokes cover `ingest -> structure -> formalize -> audit -> promote -> export`."
M6-01,M6 CLI,workflow-mcp-cli,done,implement,apps/cli,apps/cli,"Build human-facing CLI for project bootstrap, audit runs, and artifact inspection",feat,DevEx,Engineering,S,M5-03 M4-07,"cli,ux,devex","`apps/cli` existed only as a placeholder README; the canonical operator shell had to be created as a thin package over `FormalClaimEngineAPI`.","Completed: `apps/cli` is now a Python app package that exposes project, document, claim, audit, profile, promotion, artifact, export, and legacy-import command groups over the engine boundary, with both pretty and JSON output plus optional file emission.",CLI supports init/open/list, document-ingest, run-claim-structuring, run-audit, recompute-profile, promotion-transition, show, export, and import commands with JSON and pretty output modes.
M6-02,M6 CLI,workflow-mcp-cli,done,implement,apps/cli + tests/e2e,"apps/cli, tests/e2e",Add CLI smoke tests and scripted operator scenarios,test,QA,Engineering,S,M6-01,"cli,tests,e2e","No end-to-end operator coverage existed for the new CLI surface before this wave.","Completed: `tests/e2e/test_cli_operator_flows.py` now reproduces both a theorem-audit operator flow and a legal document-ingest flow through the human CLI, and root acceptance builds the CLI package and runs those scenarios.",E2E tests cover toy theorem audit and paper/legal ingest flows; CI or local root checks can run the reduced smoke profile through the CLI package.
M7-01,M7 Desktop,productization,done,implement,apps/desktop,apps/desktop,Initialize Tauri desktop shell with project browser and local process orchestration,feat,Frontend,Engineering,M,M0-01 M4-07,"desktop,tauri,frontend",,"Completed: `apps/desktop` now provides a Tauri shell over the canonical CLI with project list/create/open flows, project metadata display, and local MCP service start/stop orchestration without embedding engine semantics.","Desktop app opens local projects, starts/stops local services, and displays project metadata without manual terminal setup."
M7-02,M7 Desktop,productization,done,implement,apps/desktop,apps/desktop,Implement Claim Graph and Assurance Graph navigation with React Flow,feat,Frontend,Engineering,M,M7-01 M2-01,"desktop,graph,react-flow",,"Completed: the desktop shell now renders ClaimGraph navigation plus a read-only assurance projection with React Flow, target-claim focus, status/relation filters, hotspot highlighting, revision-aware diff summaries, and linked profile/audit artifact inspection over canonical engine outputs.","User can inspect graphs by target claim, filter by relation/status, and open linked artifacts from selected nodes."
M7-03,M7 Desktop,productization,done,implement,apps/desktop + services/isabelle-runner + services/mcp-server,"apps/desktop, services/isabelle-runner, services/mcp-server",Implement light theory editor and managed external Isabelle launch with budgeted run control,feat,Frontend+Proof,Engineering,M,M7-01 M3-07 M5-01,"desktop,isabelle,editor,run-control",,Keep the desktop as a thin shell while routing build/check/search/probe requests through managed backend runs that expose start, poll, cancel, and kill controls.,"Completed: desktop now exposes a thin theory editor, file list/read/write controls, and managed proof-job start/poll/cancel/kill over the runner governor, while MCP and CLI expose the same persisted job state without frontend-owned proof semantics.","User can inspect generated `.thy`, start a managed Isabelle run, observe run state, cancel or kill runaway work, and sync changed artifact paths/fingerprints back into the app without frontend-owned proof semantics."
M7-04,M7 Desktop,productization,done,implement,apps/desktop,apps/desktop,"Implement Assurance Profile inspector, gate UI, and promotion workflow",feat,Frontend,Engineering,M,M7-02 M4-05,"desktop,assurance,policy",,"Completed: the desktop inspector now surfaces assurance-profile vector scores, trust/gate summaries, blockers, required actions, review events, linked audit/profile artifacts, and a promotion transition form that submits actor/role/override/rationale through the canonical CLI bridge.","Operator can review profile vectors, inspect blockers, add rationale, and execute allowed promotions or downgrades."
M7-05,M7 Desktop,productization,done,implement,apps/desktop,apps/desktop,"Add artifact timeline, diff viewer, and review-event panel",feat,Frontend,Engineering,S,M7-04 M2-06,"desktop,timeline,diff",,"Completed: the desktop shell now renders artifact revision timeline entries, revision-aware diff summaries, compare-baseline selection, and claim-linked review-event inspection over canonical revision IDs.",User can compare revisions of graph/profile/theory text and see who or what changed them and why.
M7-06,M7 Desktop,productization,done,implement,services/isabelle-runner + services/mcp-server + apps/desktop,"services/isabelle-runner, services/mcp-server, apps/desktop",Add bounded backend run governor and stop controls for managed proof jobs,feat,Proof Runtime,Engineering,M,M7-03 M5-01 M5-02,"runtime,isabelle,mcp,desktop,guardrails",,"Completed: the runner now owns a disk-backed managed proof-job governor with wall/idle budgets, cancel grace windows, force-kill escalation, persisted log paths, and shared job state surfaced consistently through MCP, CLI, and desktop.","Managed proof jobs run through a governor that supports start/poll/cancel/kill, records timeout or runaway-search reasons, and leaves no orphan worker after cancellation or forced termination."
M8-01,M8 Evidence,productization,done,implement,packages/evidence-connectors,packages/evidence-connectors,Implement local document import and citation-anchor normalization,feat,Research,Engineering,S,M4-06,"evidence,documents,citations",,Store source excerpts and spans in a normalized way so claim provenance and assurance links remain inspectable.,"Local file import preserves source_ref, excerpt, and offsets or fallback anchors; UI/API can retrieve them."
M8-02,M8 Evidence,productization,done,implement,packages/evidence-connectors,packages/evidence-connectors,Implement experiment/evaluation evidence adapter,feat,Research,Engineering,M,M8-01,"evidence,experiments,metrics",,"Completed: structured evaluation evidence is now extracted as engine-owned revisioned artifacts, linked through claim/reference read surfaces, exposed in CLI and desktop inspectors, and replayed in the paper scenario without entering the proof gate path.","Adapter stores experiment metadata, result summaries, and linkage to claims without entering the proof gate path."
M8-03,M8 Evidence,productization,done,implement,packages/evidence-connectors + integrations/assurance,"packages/evidence-connectors, integrations/assurance",Implement external reference registry and assurance-link browser,feat,Research,Engineering,S,M8-01 M7-02,"evidence,assurance,traceability",,"Create browseable links from claims to source documents, experiments, and review notes.",Every assurance link resolves to an artifact preview or metadata card in CLI/API/UI.
M9-01,M9 Hardening,productization,done,implement,tests/audit + tests/integration,"tests/audit, tests/integration","Add audit-rule property tests, regression corpus, and runaway-search stop cases",test,QA,Engineering,S,M2-04 M7-06,"tests,audit,regression,runtime",,"Completed: promotion-state and governed-run regressions now cover cancel, hard-kill, idle-timeout, wall-timeout, and runaway-search behavior alongside the existing assurance-rule and promotion checks.","Regression corpus includes vacuity, countermodel, oracle, missing-premise, cancel, hard-kill, idle-timeout, and runaway-search cases; property tests guard state-machine invariants and governed-run invariants."
M9-02,M9 Hardening,productization,done,implement,tests/e2e,tests/e2e,"Build full end-to-end scenarios for theorem, paper, and legal workflows",test,QA,Engineering,M,M6-02 M7-04 M8-03,"tests,e2e,scenarios",,"Completed: theorem, paper, and legal scenario fixtures now replay ingest, structuring, dual formalization or applicable formal path, runner-backed audit, profile, promotion, export bundle, and CLI/MCP/desktop browse parity with preserved debug artifacts.",At least three scenario suites run locally; failures preserve artifacts for debugging.
M9-03,M9 Hardening,productization,done,implement,docs/architecture + docs/policies,"docs/architecture, docs/policies","Write operator docs for promotion policy, review semantics, failure handling, and backend stop controls",docs,Policy,Architecture+Tech Lead,S,M4-05 M7-04 M7-06,"docs,policy,ops,runtime",,"Completed: architecture and policy docs now define the managed proof-run boundary, stop-control semantics, operator response to stalled or runaway jobs, and the requirement that proof-run incidents never bypass review or promotion policy.","Docs explain each assurance vector, each blocker, the review procedure for exceptions, and the operational meaning of cancel, kill, timeout, and forced termination."
M9-04,M9 Hardening,productization,done,implement,docs/product,"docs/product",Author project instructions and skill packs for engineering and architecture review,docs,AI Runtime,Architecture+Tech Lead,S,M5-03,"engineering,architecture-review,skills,docs",,"Completed: shared agent-runtime contract docs, repo-local Engineering and Claude instructions, package-local operator/release skills, and lint checks now keep both agent surfaces aligned and prevent Cursor config drift.","workflow documentation reference the same package boundaries, commands, and MCP tools; no Cursor config remains."
M9-05,M9 Hardening,productization,done,implement,repo-root + apps/desktop + services/isabelle-runner,"/, apps/desktop, services/isabelle-runner","Implement release packaging, reproducible local dev environment, and smoke release checklist",chore,DevEx,Engineering,M,M7-05 M9-02 M7-06,"release,packaging,ops,runtime",,"Completed: release packaging now emits a desktop binary, service wheels, and a release manifest; release docs and smoke checks cover reproducible local setup plus governed proof-job start/cancel/kill/cleanup safety.","Tagged release can build desktop binaries and service wheels; release checklist includes smoke tests, known limitations, and verification that managed proof jobs can be started, cancelled, killed, and cleaned up safely."
